trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.2, 'e': 0.34809311449244207}",30,15,12.839931118643738,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.34461218334751764}",20,8,7.598214358111102,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.34116606151404244}",20,0,-52.893333747816456,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.2, 'e': 0.337754400898902}",20,0,9.337595386699757,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.334376856889913}",35,21,-18.19016574380377,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.33103308832101386}",20,10,-3.4246808120231482,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.3277227574378037}",30,0,19.491232896155736,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.2, 'e': 0.3244455298634257}",35,19,-13.479283254585148,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.2, 'e': 0.3212010745647914}",30,3,22.108547592717414,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.3179890638191435}",20,0,-20.275573462467204,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
115,False,"{'a': 0.2, 'e': 0.31480917318095203}",20,0,20.453965325785536,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.2, 'e': 0.3116610814491425}",20,1,-45.302727664158304,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
117,False,"{'a': 0.2, 'e': 0.30854447063465107}",20,0,18.58773506185339,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.2, 'e': 0.30545902592830454}",25,16,-24.269736773477195,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.2, 'e': 0.3024044356690215}",25,19,12.849083479683785,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.29938039131233124}",25,5,-79.55177471331687,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
121,False,"{'a': 0.2, 'e': 0.2963865873992079}",20,0,3.6583858288162814,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.2, 'e': 0.29342272152521587}",25,0,-7.207908962854934,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
